Bellman-Ford distances from node 1:
Node 170 -> Distance: 3
Node 169 -> Distance: 4
Node 167 -> Distance: 3
Node 165 -> Distance: 1
Node 160 -> Distance: 3
Node 157 -> Distance: 3
Node 154 -> Distance: 4
Node 149 -> Distance: 2
Node 93 -> Distance: 3
Node 145 -> Distance: 1
Node 139 -> Distance: 3
Node 141 -> Distance: 4
Node 138 -> Distance: 1
Node 32 -> Distance: 1
Node 159 -> Distance: 3
Node 143 -> Distance: 2
Node 16 -> Distance: 10
Node 13 -> Distance: 2
Node 140 -> Distance: 3
Node 72 -> Distance: 7
Node 166 -> Distance: 3
Node 39 -> Distance: 3
Node 10 -> Distance: 4
Node 137 -> Distance: 3
Node 69 -> Distance: 2
Node 45 -> Distance: 3
Node 172 -> Distance: 3
Node 163 -> Distance: 3
Node 36 -> Distance: 3
Node 75 -> Distance: 2
Node 134 -> Distance: 2
Node 7 -> Distance: 2
Node 66 -> Distance: 5
Node 147 -> Distance: 3
Node 20 -> Distance: 2
Node 79 -> Distance: 2
Node 148 -> Distance: 3
Node 21 -> Distance: 3
Node 80 -> Distance: 3
Node 146 -> Distance: 2
Node 19 -> Distance: 3
Node 78 -> Distance: 1
Node 55 -> Distance: 3
Node 182 -> Distance: 4
Node 173 -> Distance: 3
Node 46 -> Distance: 4
Node 57 -> Distance: 2
Node 175 -> Distance: 4
Node 176 -> Distance: 6
Node 177 -> Distance: 4
Node 178 -> Distance: 3
Node 51 -> Distance: 5
Node 179 -> Distance: 3
Node 52 -> Distance: 5
Node 3 -> Distance: 4
Node 62 -> Distance: 3
Node 180 -> Distance: 4
Node 53 -> Distance: 5
Node 4 -> Distance: 3
Node 131 -> Distance: 3
Node 181 -> Distance: 3
Node 54 -> Distance: 1
Node 174 -> Distance: 3
Node 47 -> Distance: 2
Node 56 -> Distance: 2
Node 81 -> Distance: 1
Node 168 -> Distance: 3
Node 41 -> Distance: 2
Node 77 -> Distance: 2
Node 68 -> Distance: 2
Node 71 -> Distance: 1
Node 70 -> Distance: 2
Node 171 -> Distance: 5
Node 44 -> Distance: 4
Node 60 -> Distance: 2
Node 1 -> Distance: 0
Node 64 -> Distance: 3
Node 5 -> Distance: 3
Node 132 -> Distance: 2
Node 34 -> Distance: 1
Node 161 -> Distance: 3
Node 74 -> Distance: 1
Node 15 -> Distance: 1
Node 142 -> Distance: 2
Node 61 -> Distance: 4
Node 2 -> Distance: 2
Node 129 -> Distance: 2
Node 31 -> Distance: 2
Node 158 -> Distance: 5
Node 65 -> Distance: 2
Node 6 -> Distance: 2
Node 133 -> Distance: 3
Node 35 -> Distance: 1
Node 162 -> Distance: 3
Node 8 -> Distance: 3
Node 135 -> Distance: 3
Node 37 -> Distance: 4
Node 76 -> Distance: 2
Node 17 -> Distance: 2
Node 144 -> Distance: 2
Node 23 -> Distance: 2
Node 150 -> Distance: 3
Node 25 -> Distance: 2
Node 152 -> Distance: 3
Node 26 -> Distance: 4
Node 153 -> Distance: 4
Node 28 -> Distance: 3
Node 155 -> Distance: 2
Node 29 -> Distance: 4
Node 156 -> Distance: 3
Node 83 -> Distance: 3
Node 104 -> Distance: 2
Node 86 -> Distance: 3
Node 87 -> Distance: 3
Node 89 -> Distance: 3
Node 94 -> Distance: 4
Node 95 -> Distance: 3
Node 96 -> Distance: 3
Node 97 -> Distance: 3
Node 99 -> Distance: 3
Node 88 -> Distance: 5
Node 101 -> Distance: 1
Node 100 -> Distance: 2
Node 103 -> Distance: 2
Node 105 -> Distance: 3
Node 106 -> Distance: 4
Node 107 -> Distance: 3
Node 108 -> Distance: 3
Node 109 -> Distance: 3
Node 110 -> Distance: 1
Node 111 -> Distance: 1
Node 112 -> Distance: 3
Node 115 -> Distance: 5
Node 114 -> Distance: 2
Node 119 -> Distance: 1
Node 122 -> Distance: 2
Node 127 -> Distance: 3
Node 116 -> Distance: 4
Node 113 -> Distance: 4
Node 125 -> Distance: 6
