Dijkstra distances from node 5:
Node 170 -> Distance: 5
Node 169 -> Distance: 5
Node 167 -> Distance: 4
Node 165 -> Distance: 4
Node 160 -> Distance: 5
Node 157 -> Distance: 4
Node 154 -> Distance: 4
Node 149 -> Distance: 4
Node 93 -> Distance: 6
Node 145 -> Distance: 4
Node 139 -> Distance: 4
Node 141 -> Distance: 3
Node 138 -> Distance: 4
Node 32 -> Distance: 3
Node 159 -> Distance: 4
Node 143 -> Distance: 5
Node 16 -> Distance: 10
Node 13 -> Distance: 2
Node 140 -> Distance: 4
Node 72 -> Distance: 8
Node 166 -> Distance: 2
Node 39 -> Distance: 3
Node 10 -> Distance: 7
Node 137 -> Distance: 2
Node 69 -> Distance: 5
Node 45 -> Distance: 4
Node 172 -> Distance: 5
Node 163 -> Distance: 4
Node 36 -> Distance: 4
Node 75 -> Distance: 4
Node 134 -> Distance: 4
Node 7 -> Distance: 1
Node 66 -> Distance: 6
Node 147 -> Distance: 4
Node 20 -> Distance: 5
Node 79 -> Distance: 5
Node 148 -> Distance: 4
Node 21 -> Distance: 5
Node 80 -> Distance: 4
Node 146 -> Distance: 4
Node 19 -> Distance: 5
Node 78 -> Distance: 3
Node 55 -> Distance: 2
Node 182 -> Distance: 5
Node 173 -> Distance: 4
Node 46 -> Distance: 5
Node 57 -> Distance: 5
Node 175 -> Distance: 3
Node 176 -> Distance: 7
Node 177 -> Distance: 5
Node 178 -> Distance: 5
Node 51 -> Distance: 4
Node 179 -> Distance: 5
Node 52 -> Distance: 4
Node 3 -> Distance: 4
Node 62 -> Distance: 6
Node 180 -> Distance: 3
Node 53 -> Distance: 5
Node 4 -> Distance: 4
Node 131 -> Distance: 6
Node 181 -> Distance: 4
Node 54 -> Distance: 4
Node 174 -> Distance: 4
Node 47 -> Distance: 2
Node 56 -> Distance: 4
Node 81 -> Distance: 4
Node 168 -> Distance: 4
Node 41 -> Distance: 3
Node 77 -> Distance: 5
Node 68 -> Distance: 4
Node 71 -> Distance: 4
Node 70 -> Distance: 4
Node 171 -> Distance: 6
Node 44 -> Distance: 4
Node 60 -> Distance: 4
Node 1 -> Distance: 3
Node 64 -> Distance: 3
Node 5 -> Distance: 0
Node 132 -> Distance: 3
Node 34 -> Distance: 2
Node 161 -> Distance: 4
Node 74 -> Distance: 4
Node 15 -> Distance: 4
Node 142 -> Distance: 4
Node 61 -> Distance: 5
Node 2 -> Distance: 3
Node 129 -> Distance: 5
Node 31 -> Distance: 5
Node 158 -> Distance: 4
Node 65 -> Distance: 5
Node 6 -> Distance: 2
Node 133 -> Distance: 2
Node 35 -> Distance: 4
Node 162 -> Distance: 4
Node 8 -> Distance: 6
Node 135 -> Distance: 5
Node 37 -> Distance: 5
Node 76 -> Distance: 2
Node 17 -> Distance: 3
Node 144 -> Distance: 4
Node 23 -> Distance: 4
Node 150 -> Distance: 5
Node 25 -> Distance: 5
Node 152 -> Distance: 3
Node 26 -> Distance: 5
Node 153 -> Distance: 6
